element,name,position,GW,total_points,value,minutes,expected_goals,expected_assists,expected_goals_conceded,goals_scored,assists,goals_conceded,clean_sheets,ict_index,fixture,was_home,fixture_difficulty,avg_score_last_3,avg_mins_last_3,goals_last_3,assists_last_3,xG_last_3,xA_last_3,ict_last_3,goals_conceded_last_3,avg_xGC_last_3,clean_sheets_last_3,avg_score_last_1,avg_mins_last_1,goals_last_1,assists_last_1,xG_last_1,xA_last_1,ict_last_1,goals_conceded_last_1,avg_xGC_last_1,clean_sheets_last_1
1,Fábio Ferreira Vieira,MID,3,0,54,0,0.0,0.0,0.0,0,0,0,0,0.0,21,True,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Fábio Ferreira Vieira,MID,4,0,54,0,0.0,0.0,0.0,0,0,0,0,0.0,39,False,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Fábio Ferreira Vieira,MID,5,0,54,0,0.0,0.0,0.0,0,0,0,0,0.0,47,False,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Fábio Ferreira Vieira,MID,6,0,54,0,0.0,0.0,0.0,0,0,0,0,0.0,51,True,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Fábio Ferreira Vieira,MID,7,0,54,0,0.0,0.0,0.0,0,0,0,0,0.0,61,True,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Fábio Ferreira Vieira,MID,8,0,54,0,0.0,0.0,0.0,0,0,0,0,0.0,71,False,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Fábio Ferreira Vieira,MID,9,0,54,0,0.0,0.0,0.0,0,0,0,0,0.0,81,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Fábio Ferreira Vieira,MID,10,0,54,0,0.0,0.0,0.0,0,0,0,0,0.0,96,False,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Gabriel Fernando de Jesus,FWD,3,0,68,0,0.0,0.0,0.0,0,0,0,0,0.0,21,True,2,0.0,2.5,0.0,0.0,0.0,0.0,0.1,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Gabriel Fernando de Jesus,FWD,4,1,68,10,0.0,0.0,0.13,0,0,0,0,0.0,39,False,4,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.1,0.0,0.049999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Gabriel Fernando de Jesus,FWD,5,0,68,3,0.0,0.0,0.69,0,0,1,0,1.0,47,False,5,0.3333333333333333,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.043333333333333335,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0
2,Gabriel Fernando de Jesus,FWD,6,1,68,1,0.11,0.0,0.0,0,0,0,0,1.9,51,True,2,0.3333333333333333,4.333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0.2733333333333333,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.69,0.0
2,Gabriel Fernando de Jesus,FWD,7,1,68,59,0.38,0.06,0.32,0,0,1,0,4.9,61,True,2,0.6666666666666666,4.666666666666667,0.0,0.0,0.11,0.0,2.9,1.0,0.2733333333333333,0.0,1.0,1.0,0.0,0.0,0.11,0.0,1.9,0.0,0.0,0.0
2,Gabriel Fernando de Jesus,FWD,8,1,68,10,0.0,0.0,0.0,0,0,0,0,0.7,71,False,3,0.6666666666666666,21.0,0.0,0.0,0.49,0.06,7.800000000000001,2.0,0.33666666666666667,0.0,1.0,59.0,0.0,0.0,0.38,0.06,4.9,1.0,0.32,0.0
2,Gabriel Fernando de Jesus,FWD,9,0,68,5,0.18,0.0,0.0,0,0,0,0,2.3,81,True,5,1.0,23.333333333333332,0.0,0.0,0.49,0.06,7.500000000000001,1.0,0.10666666666666667,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
2,Gabriel Fernando de Jesus,FWD,10,1,68,19,0.0,0.01,0.04,0,0,0,0,0.6,96,False,4,0.6666666666666666,24.666666666666668,0.0,0.0,0.56,0.06,7.900000000000001,1.0,0.10666666666666667,0.0,0.0,5.0,0.0,0.0,0.18,0.0,2.3,0.0,0.0,0.0
3,Gabriel dos Santos Magalhães,DEF,3,2,60,90,0.12,0.01,1.83,0,0,1,0,5.1,21,True,2,6.0,90.0,0.0,0.0,0.12,0.04,4.6,0.0,0.875,2.0,6.0,90.0,0.0,0.0,0.0,0.02,2.3,0.0,1.28,1.0
3,Gabriel dos Santos Magalhães,DEF,4,15,60,90,0.27,0.0,0.74,1,0,0,1,9.4,39,False,4,4.666666666666667,90.0,0.0,0.0,0.24,0.05,9.7,1.0,1.1933333333333334,2.0,2.0,90.0,0.0,0.0,0.12,0.01,5.1,1.0,1.83,0.0
3,Gabriel dos Santos Magalhães,DEF,5,7,60,90,0.49,0.01,2.16,1,0,2,0,9.7,47,False,5,7.666666666666667,90.0,1.0,0.0,0.39,0.03,16.8,1.0,1.2833333333333334,2.0,15.0,90.0,1.0,0.0,0.27,0.0,9.4,0.0,0.74,1.0
3,Gabriel dos Santos Magalhães,DEF,6,1,61,90,0.27,0.05,0.32,0,0,2,0,8.4,51,True,2,8.0,90.0,2.0,0.0,0.88,0.02,24.199999999999996,3.0,1.5766666666666669,1.0,7.0,90.0,1.0,0.0,0.49,0.01,9.7,2.0,2.16,0.0
3,Gabriel dos Santos Magalhães,DEF,7,2,62,90,0.2,0.04,0.65,0,0,1,0,2.4,61,True,2,7.666666666666667,90.0,2.0,0.0,1.03,0.060000000000000005,27.5,4.0,1.0733333333333335,1.0,1.0,90.0,0.0,0.0,0.27,0.05,8.4,2.0,0.32,0.0
3,Gabriel dos Santos Magalhães,DEF,8,1,62,90,0.02,0.0,1.82,0,0,2,0,2.8,71,False,3,3.3333333333333335,90.0,1.0,0.0,0.96,0.1,20.499999999999996,5.0,1.0433333333333337,0.0,2.0,90.0,0.0,0.0,0.2,0.04,2.4,1.0,0.65,0.0
3,Gabriel dos Santos Magalhães,DEF,9,1,63,53,0.0,0.0,0.39,0,0,1,0,0.5,81,True,5,1.3333333333333333,90.0,0.0,0.0,0.49000000000000005,0.09000000000000001,13.599999999999998,5.0,0.9300000000000002,0.0,1.0,90.0,0.0,0.0,0.02,0.0,2.8,2.0,1.82,0.0
3,Gabriel dos Santos Magalhães,DEF,10,2,62,90,0.0,0.1,0.53,0,0,1,0,3.4,96,False,4,1.3333333333333333,77.66666666666667,0.0,0.0,0.22,0.04,5.6999999999999975,4.0,0.9533333333333336,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.5,1.0,0.39,0.0
4,Kai Havertz,FWD,3,8,81,90,0.77,0.05,1.83,1,0,1,0,10.2,21,True,2,7.0,90.0,1.0,1.0,0.66,0.07,14.5,0.0,0.875,2.0,2.0,90.0,0.0,0.0,0.21,0.03,2.0,0.0,1.28,1.0
4,Kai Havertz,FWD,4,2,81,90,0.14,0.0,0.74,0,0,0,1,6.1,39,False,4,7.333333333333333,90.0,2.0,1.0,1.4300000000000002,0.12,24.7,1.0,1.1933333333333334,2.0,8.0,90.0,1.0,0.0,0.77,0.05,10.2,1.0,1.83,0.0
4,Kai Havertz,FWD,5,2,81,90,0.06,0.0,2.16,0,0,2,0,3.2,47,False,5,4.0,90.0,1.0,0.0,1.12,0.07999999999999999,18.299999999999997,1.0,1.2833333333333334,2.0,2.0,90.0,0.0,0.0,0.14,0.0,6.1,0.0,0.74,1.0
4,Kai Havertz,FWD,6,6,82,90,1.89,0.04,0.32,1,0,2,0,14.4,51,True,2,4.0,90.0,1.0,0.0,0.97,0.05,19.5,3.0,1.5766666666666669,1.0,2.0,90.0,0.0,0.0,0.06,0.0,3.2,2.0,2.16,0.0
